Symbol	Description
GBPAUD.A	
GBPAUD.D	
GBPAUD.S	
GBPAWG	
GBPBAM	
GBPBBD	British Pound / Barbadian Dollar
GBPBDT	British Pound / Bangladeshi Taka
GBPBGN	GBP / BGN
GBPBHD	GBP / BHD
GBPBIF	British Pound / Burundian Franc
GBPBMD	GBP / BMD
GBPBND	GBP / BND
GBPBOB	
GBPBRL	GBP / BRL
GBPBSD	British Pound / Bahamas Dollar
GBPBTN	
GBPBWP	GBP / BWP
GBPBZD	
GBPCAD	GBP / CAD
GBPCDF	
GBPCHF	GBP / CHF
GBPCLP	GBP / CLP
GBPCNH	GBP / CNH
GBPCNY	GBP / CNY
GBPCOP	British Pound / Colombian Peso
GBPCRC	GBP / CRC
GBPCUP	
GBPCVE	
GBPCZK	GBP / CZK
GBPDJF	British Pound / Djiboutian Franc
GBPDKK	GBP / DKK
GBPDOP	GBP / DOP
GBPDZD	GBP / DZD
GBPEGP	GBP / EGP
GBPETB	GBP / ETB
GBPEUR	GBP / EUR
GBPFJD	GBP / FJD
GBPGHS	
GBPGMD	British Pound / Gambian Dalasi
GBPGNF	
GBPGTQ	GBP / GTQ
GBPGYD	
GBPHKD	GBP / HKD
GBPHNL	British Pound / Honduran Lempira
GBPHTG	GBP / HTG
GBPHUF	GBP / HUF
GBPIDR	GBP / IDR
GBPILS	GBP / ILS
GBPINR	GBP / INR
GBPIQD	British Pound / Iraqi Dinar
GBPISK	GBP / ISK
GBPJMD	British Pound / Jamaican Dollar
GBPJOD	British Pound / Jordan Dinar
GBPJPY	GBP / JPY
GBPJPY.A	
GBPKES	GBP / KES
GBPKHR	
GBPKMF	
GBPKRW	GBP / KRW
GBPKWD	GBP / KWD
GBPKYD	
GBPKZT	British Pound / Kazakh Tenge
GBPLAK	
GBPLBP	British Pound / Lebanese Pound
GBPLKR	GBP / LKR
GBPLRD	
GBPLSL	
GBPLYD	
GBPMAD	British Pound / Moroccan Dirham
GBPMDL	
GBPMGA	
GBPMKD	
GBPMOP	
GBPMUR	GBP / MUR
GBPMVR	GBP / MVR
GBPMWK	British Pound / Malawian Kwacha
GBPMXN	GBP / MXN
GBPMYR	GBP / MYR
GBPNGN	GBP / NGN
GBPNIO	GBP / NIO
GBPNOK	GBP / NOK
GBPNOK.1	
GBPNOK.A	
GBPNOK.B	
GBPNOK.E	
GBPNOK.G	
GBPNOK.H	
GBPNOK.J	
GBPNOK.K	
GBPNOK.M	
GBPNOK.N	
GBPNOK.Q	
GBPNOK.U	
GBPNOK.V	
GBPNOK.X	
GBPNPR	
GBPNZD	GBP / NZD
GBPOMR	GBP / OMR
GBPPAB	British Pound / Panamanian Balboa
GBPPEN	GBP / PEN
GBPPGK	GBP / PGK
GBPPHP	GBP / PHP
GBPPKR	British Pound / Pakistani Rupee
GBPPLN	GBP / PLN
GBPPYG	
GBPQAR	British Pound / Qatari Riyal
GBPRON	GBP / RON
GBPRSD	GBP / RSD
GBPRUB	GBP / RUB
GBPRWF	
GBPSAR	GBP / SAR
GBPSCR	GBP / SCR
GBPSEK	GBP / SEK
GBPSEK.A	
GBPSEK.S	
GBPSGD	GBP / SGD
GBPSOS	
GBPSVC	
GBPSZL	British Pound / Swazi Lilangeni
GBPTHB	GBP / THB
GBPTND	GBP / TND
GBPTRY	GBP / TRY
GBPTTD	GBP / TTD
GBPTWD	GBP / TWD
GBPTZS	GBP / TZS
GBPUAH	British Pound / Ukrainian Hryvnia
GBPUGX	GBP / UGX
GBPUSD	GBP / USD
GBPUSD.A	
GBPUSD.B	
GBPUSD.C	
GBPUSD.D	
GBPUSD.E	
GBPUSD.G	
GBPUSD.H	
